fileNumber,accessionNumber,countFilings,countAmendments,countProgressUpdates,latestProgressUpdate,quarter,companyAge,initialTargetOffering,finalTargetOffering,initialCampaignDeadline,finalCampaignDeadline,unknownProgressUpdate,raisedAmount,securityOfferedType,noOfSecurityOffered,price,oversubscriptionAccepted,oversubscriptionAllocationType,maximumOfferingAmount,currentEmployees,totalAssetMostRecentFiscalYear,totalAssetPriorFiscalYear,cashEqMostRecentFiscalYear,cashEqPriorFiscalYear,accountsReceivedRecentFiscalYear,accountsReceivedPriorFiscalYear,shortTermDebtMRecentFiscalYear,shortTermDebtPriorFiscalYear,longTermDebtRecentFiscalYear,longTermDebtPriorFiscalYear,revenueMostRecentFiscalYear,revenuePriorFiscalYear,costGoodsSoldRecentFiscalYear,costGoodsSoldPriorFiscalYear,taxPaidMostRecentFiscalYear,taxPaidPriorFiscalYear,netIncomeMostRecentFiscalYear,netIncomePriorFiscalYear,issuerName,legalStatusForm,dateIncorporation,city,stateOrCountry,zipCode,issuerWebsite,filingDate,IntermediaryName,state (US),Country,Platform
020-31665,0001644600-23-000013,2,0,1,"The company has terminated its offering under Regulation Crowdfunding as of April 28, 2023 and has not accepted any subscriptions.",1Q,738,200000,200000,2023-04-30,2023-04-30,0,0.00,Other,200000,1,Y,"First-come, first-served basis",4878048.78,71,8656709,0,7965861,0,0,0,336314,0,0,0,0,0,0,0,0,0,-21665518,0,Serve Robotics Inc.,Corporation,2021-01-15,REDWOOD CITY,CA,94063,www.serverobotics.com,2023-01-23,Dealmaker,CALIFORNIA,United States,others
020-27371,0001670254-20-001182,2,1,0,unknown,4Q,937,50000,50000,2021-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,596291,3,6478,36,1027,36,0,0,0,0,165000,0,0,0,0,0,0,0,-158522,-14,GenoBank.io Inc,Corporation,2018-05-29,San Mateo,CA,94401,https://genobank.io,2020-12-21,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-23308,0001670254-17-000056,3,1,0,unknown,2Q,1042,50000,50000,2017-05-04,2017-10-23,1,0.00,Other,50000,1,Y,Other,1000000,58,138055,9980,14493,9980,1000,0,2957029,10000,0,0,90,0,0,0,0,0,-2819954,-20,"MilTec Platform, Inc.",Corporation,2014-06-05,Duluth,GA,30096,http://www.vodi.io,2017-04-12,Wefunder Portal LLC,GEORGIA,United States,Wefunder Portal LLC
020-27321,0001670254-20-001138,1,0,0,unknown,4Q,807,50000,50000,2021-04-01,2021-04-01,1,0.00,Other,50000,1,Y,Other,250000,1,28466,100,25279,0,3187,100,8074,121,0,0,47786,600,0,0,7974,100,20413,-21,"afocusedpath.com, INC",Corporation,2018-09-29,Memphis,TN,38103,http://www.afocusedpath.com,2020-12-14,Wefunder Portal LLC,TENNESSEE,United States,Wefunder Portal LLC
020-31279,0001947147-22-000002,1,0,0,unknown,4Q,727,25000,25000,2023-01-31,2023-01-31,1,0.00,Other,25000,1,Y,Other,1235000,3,286684,9985,286684,9985,0,0,15996,7,351207,0,175547,0,202675,0,0,0,-240570,-22,Brite Inc,Corporation,2020-11-12,BOTHELL,WA,98012,https://gobrite.io,2022-11-09,Republic,WASHINGTON,United States,Republic
020-23099,0001665160-16-000170,1,0,0,unknown,4Q,951,125000,125000,2017-03-31,2017-03-31,1,0.00,Common Stock,15625,8,Y,"First-come, first-served basis",960000,4,392735,976,312211,976,0,0,0,0,0,0,0,0,0,0,0,0,-597246,-24,"Vanguard Moto, Inc.",Corporation,2014-04-30,Brooklyn,NY,11205,www.vanguard.nyc,2016-12-06,StartEngine,NEW YORK,United States,StartEngine
020-26841,0001670254-20-000779,4,1,0,unknown,3Q,906,50000,50000,2020-12-02,2021-02-28,1,0.00,Other,50000,1,Y,Other,250000,2,1175,0,1175,0,0,0,0,25,0,0,0,0,0,0,50,0,-11480,-25,Real & Open Corporation d/b/a Tiro,Other,2018-03-06,New York,NY,10031,http://tirotest.org,2020-08-28,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-26017,0001746059-20-000006,2,0,0,unknown,1Q,6482,25000,25000,2020-03-11,2020-03-11,1,0.00,Debt,,1,Y,"First-come, first-served basis",50000,1,7970,7970,0,0,0,0,0,0,0,0,1100,15743,12480,0,0,0,-11480,-30,"Association of Child Daycare Providers, Inc.",Corporation,2002-04-16,PHILADELPHIA,PA,19134,https://www.mangobahia.com/,2020-01-14,"MainVest, Inc.",PENNSYLVANIA,United States,"MainVest, Inc."
020-27177,0001670254-20-001038,1,0,0,unknown,4Q,941,50000,50000,2021-02-11,2021-02-11,1,0.00,Other,50000,1,Y,Other,250000,2,26336.92,6360,-2122.78,0,0,0,20626.54,6400.79,50000,0,1397.74,0,2831.94,0,0,0,-19410.83,-40.79,Easymove Inc,Corporation,2018-04-16,Chicago,IL,60607,https://geteasymove.com,2020-11-12,Wefunder Portal LLC,ILLINOIS,United States,Wefunder Portal LLC
020-28285,0001670254-21-000742,2,0,0,unknown,2Q,869,50000,50000,2022-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,100000,1,47553,29023,1290,0,0,0,2733,0,10958,12315,0,0,0,0,0,0,-4179,-50,"Simply Tiny Development, a Public Benefit LLC",Limited Liability Company,2019-02-06,Lakewood,CO,80232,http://www.simplytinydevelopment.com,2021-06-24,Wefunder Portal LLC,COLORADO,United States,Wefunder Portal LLC
020-26857,0001670254-20-000787,2,1,0,unknown,3Q,679,50000,50000,2020-12-02,2021-04-02,1,0.00,Other,50000,1,Y,Other,250000,6,47554.42,2724.09,31034.27,-13796.06,13900,13900,18293.44,2938.63,0,0,118250.45,36383.78,2006.11,4131.49,698.41,668,-21415.64,-63.88,"Quirktastic, Inc.",Corporation,2018-10-22,Concord,NC,28027,http://www.quirktastic.co,2020-08-31,Wefunder Portal LLC,NORTH CAROLINA,United States,Wefunder Portal LLC
020-26666,0001780439-20-000040,1,0,0,unknown,3Q,693,35000,35000,2020-11-16,2020-11-16,1,0.00,Debt,,1,Y,"First-come, first-served basis",95000,1,5981,1347,4082,1342,0,0,0,0,0,0,22414,2000,16447,950,0,0,282,-66,"Louis & Zelie, LLC",Limited Liability Company,2018-08-27,SUGAR LAND,TX,77478,www.zeliebeanscoffee.com,2020-07-20,Fundopolis Portal LLC,TEXAS,United States,others
020-26407,0001670254-20-000368,2,1,0,unknown,2Q,575,50000,50000,2020-09-18,2020-09-18,1,0.00,Other,50000,1,Y,Other,250000,2,9859.96,0.43,9859,0.43,0,0,0,0,0,0,0,0,0,0,0,0,-80144.14,-79.57,Radix Motion Inc,Corporation,2018-10-18,san francisco,CA,94123,https://radixmotion.com/,2020-05-15,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-29647,0001670254-22-000127,3,1,0,unknown,1Q,871,50000,50000,2022-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,1070000,1,77551,5300,66551,5300,0,95,48000,95,0,0,61710,0,0,0,0,0,28240,-95,"necoBrands, Inc",Corporation,2019-09-20,Delaware,OH,43015,http://www.necotechusa.com,2022-02-07,Wefunder Portal LLC,OHIO,United States,Wefunder Portal LLC
020-31233,0001670254-22-001155,1,0,0,unknown,4Q,8804,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,1235000,8,173988,62255,173988,62255,0,0,27972,0,199800,0,0,0,0,0,0,0,-117039,-137,"The Economist's Advocate, Inc.",Corporation,1998-09-25,Milton,MA,2186,http://www.mydiyse.com,2022-11-02,Wefunder Portal LLC,MASSACHUSETTS,United States,Wefunder Portal LLC
020-29374,0001670254-21-001384,1,0,0,unknown,4Q,820,50000,50000,2022-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,250000,4,101986,20000,44936,17250,0,0,50000,20000,0,0,0,0,0,0,0,0,-103314,-150,"GrassTB, Co.",Corporation,2019-09-18,La Salle,CO,80645,http://www.grasstb.com,2021-12-16,Wefunder Portal LLC,COLORADO,United States,Wefunder Portal LLC
020-27492,0001670254-21-000032,2,1,0,unknown,1Q,1058,50000,50000,2021-03-18,2022-04-30,1,0.00,Other,50000,1,Y,Other,250000,2,132019,700,65030,700,0,0,0,0,0,0,38160,0,111209,0,0,0,-156180,-200,"HunniCo, Company",Corporation,2018-03-01,Edmonds,WA,98020,http://hunniwater.com,2021-01-22,Wefunder Portal LLC,WASHINGTON,United States,Wefunder Portal LLC
020-25233,0001767319-19-000001,1,0,0,unknown,1Q,200,25000,25000,2019-04-26,2019-04-26,1,0.00,Debt,,,Y,"First-come, first-served basis",1000000,21,24788,0,24788,0,0,0,0,0,0,0,0,0,0,0,0,0,-212,-212,Wooter Holding Corp,Corporation,2018-08-20,STATEN ISLAND,NY,10307,https://wooterapparel.com/,2019-03-08,SeedInvest,NEW YORK,United States,SeedInvest
020-23718,0001665160-17-000537,2,0,0,unknown,4Q,1232,10000,10000,2018-01-30,2018-01-30,1,0.00,Common Stock,10000,1,Y,Other,107000,5,59805,112545,15000,90000,0,0,39300,0,18585,0,949032,248515,207609,210907,3801,0,23088,-217,StayblGear LLC,Limited Liability Company,2014-06-18,Phoenix,AZ,85028,www.stayblcam.com,2017-11-01,StartEngine,ARIZONA,United States,StartEngine
020-22921,0001677843-16-000002,2,1,0,unknown,3Q,768,55555.56,55555.56,2016-12-16,2017-03-31,1,0.00,Other,10,5555.56,Y,"First-come, first-served basis",400000,6,33019,3882,14093,1779,0,0,5499,0,2221,0,13838,0,11163,0,0,0,-112628,-220,VG Smartglass LLC,Limited Liability Company,2014-05-29,CHICAGO,IL,60616,www.vgsmartglass.com,2016-07-05,crowdsourcefunded.com,ILLINOIS,United States,others
020-29400,0001897710-21-000001,2,1,0,unknown,4Q,825,50000,50000,2022-02-22,2022-03-31,1,0.00,Debt,,10,Y,"First-come, first-served basis",250000,20,17663,-223,10237,-223,231,0,0,0,0,0,466691,0,161030,0,1050,0,-13380,-223,"Upshur Burger Concepts Parent, LLC",Limited Liability Company,2019-09-17,WASHINGTON,DC,20011,https://www.luckybuns.com/,2021-12-20,"SMBX, Inc.",DISTRICT OF COLUMBIA,United States,others
020-29544,0001746059-22-000027,2,0,0,unknown,1Q,932,50000,50000,2022-03-18,2022-03-18,1,0.00,Debt,,1,Y,"First-come, first-served basis",100000,2,0,0,0,0,0,0,0,0,0,0,9024,0,1954,0,0,0,-1353,-237,East Bay Pie LLC,Limited Liability Company,2019-07-02,SAN FRANCISCO,CA,94112,https://www.eastbaypie.co/,2022-01-19,"MainVest, Inc.",CALIFORNIA,United States,"MainVest, Inc."
020-31770,0001670254-23-000095,1,0,0,unknown,1Q,1089,250000,250000,2023-04-30,2023-04-30,1,0.00,Other,250000,1,Y,Other,500000,3,4235,12,1235,12,0,0,28,0,0,0,14080,0,10060,0,0,0,3795,-288,KD Knit Corp,Corporation,2020-02-17,New York,NY,10031,http://www.kdnewyork.com,2023-02-10,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-25029,0001670254-18-000605,2,0,0,unknown,4Q,476,50001,50001,2019-05-03,2019-05-03,1,0.00,Preferred Stock,17986,2.78,Y,Other,1000002,4,5648,1402,320,0,0,0,7762,1714,0,0,0,0,0,0,0,0,-29016,-312,Trustwire Corporation,Corporation,2017-08-31,Gaithersburg,MD,20878,https://www.trustwire.com,2018-12-20,Wefunder Portal LLC,MARYLAND,United States,Wefunder Portal LLC
020-27622,0001670254-21-000147,1,0,0,unknown,1Q,424,50000,50000,2022-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,250000,1,0,530,0,530,0,0,0,330,0,0,0,0,0,0,0,0,0,-330,WayOut Kids Inc,Corporation,2019-12-16,Tacoma,WA,98445,http://www.wayoutkids.com,2021-02-12,Wefunder Portal LLC,WASHINGTON,United States,Wefunder Portal LLC
020-32189,0001972342-23-000003,1,0,0,unknown,2Q,596,10000,10000,2023-07-14,2023-07-14,1,0.00,Other,10000,1,Y,"First-come, first-served basis",124000,1,15999.56,134.12,9697.02,134.12,0,0,13925.05,0,7796.66,0,3540.51,0,192.8,0,0,0,-15256.27,-338.58,"Choosii, Inc",Corporation,2021-08-30,UNION CITY,NJ,7087,https://www.choosii.us,2023-04-18,"Launchparty, LLC",NEW JERSEY,United States,others
020-24585,0001748253-18-000001,5,4,0,unknown,3Q,658,50000,25000,2019-03-31,2020-12-31,1,0.00,Other,25000,2,Y,"First-come, first-served basis",1070000,3,27757,14652,27757,14652,0,0,0,0,0,0,25175,0,0,0,25,275,-1995,-347,"Vibravision, LLC.",Limited Liability Company,2016-10-26,Ogden,UT,84404,https://VibravisionUSA.com,2018-08-15,Mr. Crowd,UTAH,United States,others
020-24713,0001665160-18-000970,1,0,0,unknown,3Q,6285,9998.38,9998.38,2018-12-20,2018-12-20,1,0.00,Other,4201,2.38,Y,Other,106997.66,4,581118.26,311192.5,28029.12,2587.67,13554.46,11661.9,30676.95,11590,405314.37,110486.61,242849.57,292752.21,1098.98,1232.01,8501.76,11023.36,-9854.06,-405.88,"Full Partner, LLC",Limited Liability Company,2001-07-10,Boulder,CO,80027,www.FullPartner.com,2018-09-24,StartEngine,COLORADO,United States,StartEngine
020-27619,0001670254-21-000141,1,0,0,unknown,1Q,310,50000,50000,2022-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,150000,2,0,0,0,0,0,0,8303.2,0,0,0,0,0,0,0,0,0,-51243.41,-411.51,"CorneaCare, Inc",Corporation,2020-04-08,Philadelphia,PA,19106,http://cornea.care,2021-02-12,Wefunder Portal LLC,PENNSYLVANIA,United States,Wefunder Portal LLC
020-24972,0001665160-18-001306,3,1,0,unknown,4Q,7867,10000,10000,2019-03-05,2019-03-06,1,0.00,Other,2000,5,Y,Other,1000000,12,120952,167,3000,167,0,0,0,650,129396,299739,0,258,0,0,0,0,291778,-414,"Valorous Media, Inc.",Corporation,1997-05-22,Glendale,CA,91204,valoroustv.com,2018-12-05,StartEngine,CALIFORNIA,United States,StartEngine
020-24997,0001665160-18-001335,1,0,0,unknown,4Q,7873,10000,10000,2019-03-11,2019-03-11,1,0.00,Other,2000,5,Y,Other,900000,12,120952,167,3000,167,0,0,0,650,129396,299739,0,258,0,0,0,0,291778,-414,"Valorous Media, Inc.",Corporation,1997-05-22,Glendale,CA,91204,valoroustv.com,2018-12-11,StartEngine,CALIFORNIA,United States,StartEngine
020-30708,0001670254-22-000848,1,0,0,unknown,3Q,946,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,1070000,12,424255,182596,574,3060,0,0,0,0,0,0,0,0,0,0,0,0,-3936,-440,Floorly Inc,Corporation,2020-01-13,San Francisco,CA,94105,http://floorly.com,2022-08-16,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-31626,0001961554-23-000001,1,0,0,unknown,1Q,2658,15000,15000,2023-02-13,2023-02-13,1,0.00,Debt,,10,Y,"First-come, first-served basis",25000,1,6273,11307,1283,11307,5000,0,6436,1981,0,5264,96857,136918,76185,114855,0,0,-2169,-457,Sarah-Jane Thomas LLC,Limited Liability Company,2015-10-09,Woodbridge,VA,22192,https://www.edumatch.org/,2023-01-18,"SMBX, Inc.",VIRGINIA,United States,others
020-31136,0001670254-22-001085,1,0,0,unknown,4Q,432,15000,15000,2023-04-30,2023-04-30,1,0.00,Other,15000,1,Y,Other,124000,2,3.88,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,-566.12,-500,"SangCash, Inc.",Corporation,2021-08-13,Nashville,TN,37212,http://www.sangcash.com,2022-10-19,Wefunder Portal LLC,TENNESSEE,United States,Wefunder Portal LLC
020-30801,0001670254-22-000875,2,1,0,unknown,3Q,667,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,250000,4,22267,3900,21631,3900,0,0,16719,0,0,0,160,0,4800,0,0,0,-64994,-500,"Investii, Inc.",Corporation,2020-10-28,New Berlin,WI,53151,http://www.investii.com,2022-08-26,Wefunder Portal LLC,WISCONSIN,United States,Wefunder Portal LLC
020-30391,0001665160-22-001875,3,1,0,unknown,2Q,1030,9999,9999,2022-09-24,2022-12-23,1,0.00,Other,3333,3,Y,Other,999999,2,92183,91817,3630,795,696,660,0,0,100000,92334,14064,1547,4575,514,0,0,-7300,-517,"Mexigin, Inc.",Corporation,2019-08-29,Red Bank,NJ,7701,https://mexiginco.com/,2022-06-24,StartEngine,NEW JERSEY,United States,StartEngine
020-30222,0001670254-22-000600,1,0,0,unknown,2Q,542,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,250000,6,10876,0,2081,0,0,0,14315,518,0,0,0,0,0,0,0,0,-12421,-518,Almond Finance Corporation,Corporation,2020-11-27,Austin,TX,78705,https://verde.finance/,2022-05-23,Wefunder Portal LLC,TEXAS,United States,Wefunder Portal LLC
020-29839,0001670254-22-000212,1,0,0,unknown,1Q,153,50000,50000,2023-04-30,2023-04-30,1,0.00,Debt,,1,Y,Other,200000,0,207829.68,89229.81,70100.07,79892,0,0,0,0,0,0,0,0,0,0,0,0,-1070.29,-532.33,Just Wings Inc.,Corporation,2021-10-13,West Palm Beach,FL,33407,https://www.justchickenwings.com/,2022-03-15,Wefunder Portal LLC,FLORIDA,United States,Wefunder Portal LLC
020-29909,0001670254-22-000249,1,0,0,unknown,1Q,458,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,212000,3,36733,7651,35086,7651,0,0,70000,0,0,0,0,4038,3051,4359,0,0,-40917,-562,Cadenzo Inc.,Corporation,2020-12-22,Tulsa,OK,74104,https://www.cadenzo.io/,2022-03-25,Wefunder Portal LLC,OKLAHOMA,United States,Wefunder Portal LLC
020-25287,0001768348-19-000001,1,0,0,unknown,2Q,1297,25000,25000,2019-06-07,2019-06-07,1,0.00,Debt,,,Y,"First-come, first-served basis",750000,2,144300,0,144025,0,0,0,565,565,0,0,291718,0,99550,0,1770,0,144300,-565,Ubitquity LLC,Limited Liability Company,2015-09-15,WILMINGTON,DE,19801,https://www.ubitquity.io/,2019-04-04,SeedInvest,DELAWARE,United States,SeedInvest
020-24319,0001702607-18-000003,8,7,0,unknown,2Q,721,10000,10000,2018-12-31,2022-12-31,1,0.00,Common Stock,10000,1,Y,"First-come, first-served basis",1070000,3,156071,93493,5,1,0,0,73564,9482,0,0,0,0,0,0,0,0,-1504,-589,Streaming Television Inc,Corporation,2016-06-08,ATLANTA,GA,30303,www.citystreamingtv.com,2018-05-30,truCrowd,GEORGIA,United States,others
020-28792,0001882217-21-000001,1,0,0,unknown,3Q,651,25000,25000,2021-11-09,2021-11-09,1,0.00,Debt,,1,Y,"First-come, first-served basis",35000,4,3595,-796,1095,-796,0,0,0,0,0,0,29809,376,14824,626,0,0,2677,-592,Prince's Subs LLC,Limited Liability Company,2019-12-09,LEAVITTSBURG,OH,OH,princessubs.godaddysites.com,2021-09-20,Honeycomb Portal LLC,OHIO,United States,Honeycomb Portal LLC
020-32266,0001975538-23-000005,1,0,0,unknown,2Q,1098,25000,25000,2023-06-22,2023-06-22,1,0.00,Debt,,1,Y,"First-come, first-served basis",50000,2,-86,-2611,1956,-2611,-2186,0,21383,9330,0,0,2070,0,54,0,0,0,-5089,-618,Saluz Health Inc,Corporation,2020-05-05,DOVER,DE,19901,www.saluz.io,2023-05-08,Honeycomb Portal LLC,DELAWARE,United States,Honeycomb Portal LLC
020-30433,0001934754-22-000002,1,0,0,unknown,2Q,2525,35000,35000,2022-08-15,2022-08-15,1,0.00,Debt,,1,Y,"First-come, first-served basis",100000,4,2036,2036,2036,2036,0,0,0,0,0,0,47306,97784,10763,16500,0,0,-13062,-618,"Glammeupgirl, LLC",Limited Liability Company,2015-08-01,ALLEN,TX,75002,iioaaab.education,2022-06-30,Honeycomb Portal LLC,TEXAS,United States,Honeycomb Portal LLC
020-29055,0001670254-21-001233,1,0,0,unknown,4Q,778,1000000,1000000,2022-04-30,2022-04-30,1,0.00,Other,1000000,1,Y,Other,5000000,2,4102818,735000,100000,110000,0,625000,3261565,0,0,100625,0,0,0,0,0,0,-62721,-625,VBit DC Corp,Corporation,2019-09-10,Philadelphia,PA,19146,http://vbitdc.com,2021-10-27,Wefunder Portal LLC,PENNSYLVANIA,United States,Wefunder Portal LLC
020-25594,0001670254-19-000472,4,0,0,unknown,3Q,289,100000,100000,2019-12-09,2019-12-09,1,0.00,Other,100000,1,Y,Other,1070000,2,149610,523,149610,523,0,0,0,0,275355,627,0,0,0,0,18323,0,-125642,-627,LifEngine Animal Health Laboratories Incorporated,Corporation,2018-11-07,Rochester,MN,55902,http://www.leahlabs.com,2019-08-23,Wefunder Portal LLC,MINNESOTA,United States,Wefunder Portal LLC
020-27837,0001814663-21-000002,2,1,0,unknown,1Q,1204,100000,100000,2021-03-22,2021-05-28,1,0.00,Preferred Stock,100000,1,Y,"First-come, first-served basis",1070000,0,5148.74,125,5148.74,125,0,0,0,0,192833,192833,0,0,0,0,0,0,0,-655,"AS&R PRODUCTIONS, LLC",Limited Liability Company,2017-12-05,HENDERSON,NV,89014,invest.angelstudios.com/letsgetepic.com,2021-03-23,"VAS Portal, LLC",NEVADA,United States,"VAS Portal, LLC"
020-31037,0001670254-22-001015,1,0,0,unknown,4Q,1049,50001.09,50001.09,2023-04-30,2023-04-30,1,0.00,Preferred Stock,21993,2.2735,Y,Other,1069997.77,8,676514,23969,579187,23969,0,0,62497,16465,18861,18861,264969,50636,102300,21699,0,0,-7662,-730,"Pocstock, Inc.",Corporation,2019-11-19,Newark,NJ,7102,https://www.pocstock.com,2022-10-03,Wefunder Portal LLC,NEW JERSEY,United States,Wefunder Portal LLC
020-28095,0001670254-21-000675,2,0,0,unknown,2Q,557,100000,100000,2022-04-30,2022-04-30,1,0.00,Other,100000,1,Y,Other,1070000,3,158203,0,1432,0,0,0,156771,0,0,0,0,0,0,0,2711,0,-3493,-744,"Gilgal General, Inc.",Corporation,2019-11-07,New York,NY,11221,http://www.gilgalgeneral.com/,2021-05-17,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-23044,0001670254-16-000176,2,1,0,unknown,4Q,477,20000,20000,2017-04-28,2016-12-22,1,0.00,Debt,,1,Y,Other,25000,9,44293,0,35293,0,0,0,14323,0,49200,800,0,0,0,0,0,0,-19230,-800,"Sour Rice, LLC",Limited Liability Company,2015-07-07,San Francisco,CA,94110,http://motze.xyz,2016-10-26,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-30057,0001670254-22-000353,2,0,0,unknown,2Q,205,150000,150000,2023-04-30,2023-04-30,1,0.00,Other,150000,1,Y,Other,1070000,12,466589,21826,12116,1163,0,0,28182,33549,0,0,0,0,0,0,0,0,-549909,-816,"Kidcaboo Holdings, Inc.",Corporation,2021-09-27,Mechanicsburg,PA,17055,https://www.kidcaboo.com,2022-04-20,Wefunder Portal LLC,PENNSYLVANIA,United States,Wefunder Portal LLC
020-31317,0001665160-22-002924,2,1,0,unknown,4Q,638,10000,10000,2023-02-14,2023-03-16,1,0.00,Other,10000,1,Y,Other,1000000,5,35379,1052,13992,7,0,0,0,0,0,0,0,0,0,0,0,0,-466212,-834,"The Voca App, Inc.",Corporation,2021-02-16,Oklahoma City,OK,73170,https://thevoca.app/,2022-11-16,StartEngine,OKLAHOMA,United States,StartEngine
020-24135,0001670254-18-000100,1,0,0,unknown,1Q,483,50000,50000,2018-09-28,2018-09-28,1,0.00,Other,50000,1,Y,Other,105000,2,2200.48,136.54,2200.48,136.54,0,0,0,0,0,0,1100.85,0,0,0,0,0,-36136.06,-863.46,"Storeboard, Inc.",Corporation,2016-12-02,Rutland,VT,5701,http://www.storeboard.com,2018-03-30,Wefunder Portal LLC,VERMONT,United States,Wefunder Portal LLC
020-23179,0001644600-17-000008,1,0,0,unknown,1Q,828,100000,100000,2017-04-24,2017-04-24,1,0.00,Debt,,1,Y,"First-come, first-served basis",500000,6,31330,21634,1989,21634,0,0,0,0,0,0,10409,0,-9326,0,0,0,-38794,-866,"Swannies Footwear, LLC",Limited Liability Company,2014-10-15,WHITE BEAR LAKE,MN,55110,www.swannies.co,2017-01-20,SeedInvest,MINNESOTA,United States,SeedInvest
020-26141,0001670254-20-000139,2,1,0,unknown,1Q,508,50000,50000,2020-05-29,2020-11-18,1,0.00,Other,50000,1,Y,Other,400000,1,293496,37680,8659,2843,0,0,0,0,22000,0,9493,0,7642,0,0,0,-258036,-887,N&L Work App LLC,Limited Liability Company,2018-10-01,Miami,FL,33131,http://www.linkio.app,2020-02-21,Wefunder Portal LLC,FLORIDA,United States,Wefunder Portal LLC
020-25165,0001767357-19-000001,6,4,0,unknown,1Q,1251,25000,25000,2019-12-31,2021-12-31,1,0.00,Other,5000,5,Y,"First-come, first-served basis",1070000,0,75014,75176,14,176,0,0,65,0,0,0,0,0,0,0,0,0,-227,-973,H&G Science LLC,Limited Liability Company,2015-09-09,ST. PAUL,MN,55105,hgscience.com,2019-02-11,truCrowd,MINNESOTA,United States,others
020-27063,0001670254-20-000948,1,0,0,unknown,4Q,1201,100000,100000,2021-02-04,2021-02-04,1,0.00,Other,100000,1,Y,Other,1070000,0,99240,25027,79673,8960,0,0,0,0,101165,26165,0,0,0,0,0,0,-787,-976,33 Days LLC,Limited Liability Company,2017-07-06,Azusa,CA,91702,http://www.33daysfilm.com,2020-10-19,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-29540,0001876684-22-000005,2,0,0,unknown,1Q,3322,75000,75000,2022-04-30,2022-04-30,1,0.00,Debt,,1,Y,"First-come, first-served basis",1000000,1,1612,136,612,136,0,0,0,0,0,0,36591,4000,21216,4980,0,0,-902,-980,Solaris Media Inc,Corporation,2012-12-14,Huntington,NY,11743,www.solarisentertainment.com,2022-01-18,"Akemona, Inc.",NEW YORK,United States,others
020-24227,0001668287-18-000040,5,3,0,unknown,2Q,638,90000,90000,2018-08-15,2020-06-15,1,0.00,Other,90000,1,Y,Pro-rata basis,107000,4,1273,1061,1273,1061,0,0,0,0,0,0,0,0,0,0,0,0,-88,-993,"English for a Song, Inc.",Corporation,2016-08-02,New York,NY,10024,www.englishforasong.org,2018-05-02,Razitall Inc,NEW YORK,United States,others
020-30764,0001942177-22-000001,1,0,0,unknown,3Q,626,30000,30000,2022-10-10,2022-10-10,1,0.00,Debt,,1,Y,"First-come, first-served basis",85000,2,12391,61837,3663,57522,0,0,16887,0,1684,55456,43196,50,35187,676,0,0,-42407,-994,Tell Me Something Sweet Bakery & Cafe Inc,Corporation,2020-12-04,MCKINNEY,TX,75072,www.tmssbakery.com,2022-08-22,Honeycomb Portal LLC,TEXAS,United States,Honeycomb Portal LLC
020-25224,0001670254-19-000099,4,2,0,unknown,1Q,915,75000,75000,2019-04-26,2019-07-31,1,0.00,Other,75000,1,Y,Other,1000000,4,79524,7800,6573,0,0,0,2316,0,0,0,75423,0,73191,0,0,0,-136797,-1000,Womp Studio LLC,Limited Liability Company,2016-09-02,Brooklyn,NY,11237,http://womp.xyz,2019-03-06,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-24062,0001670254-18-000074,2,1,0,unknown,1Q,767,50000,50000,2018-04-30,2018-08-31,1,0.00,Other,50000,1,Y,Other,107000,2,38857.52,31691.2,1575.82,7223.14,0,0,22333.3,0,55000,0,0,0,0,0,0,0,-70166.98,-1021.04,"Hustle Fitness, Inc.",Corporation,2016-02-01,Pittsburgh,PA,15222,http://hustle.fitness,2018-03-09,Wefunder Portal LLC,PENNSYLVANIA,United States,Wefunder Portal LLC
